Date,Open,High,Low,Close,Volume,gold_close,oil_close,vix,spy_close
2021-05-11,244.55,246.6,242.57,246.23,33641589.0,1835.9000244140625,65.27999877929688,21.84000015258789,386.8650817871094
2021-05-12,242.165,244.38,238.07,239.0,36684370.0,1822.5999755859373,66.08000183105469,27.59000015258789,378.64599609375
2021-05-13,241.8,245.6,241.42,243.03,29585298.0,1823.800048828125,63.81999969482422,23.1299991607666,383.1945495605469
2021-05-14,245.575,249.18,245.49,248.15,23901081.0,1837.9000244140625,65.37000274658203,18.809999465942383,389.07867431640625
2021-05-17,246.55,246.59,243.52,245.18,24970168.0,1867.5,66.2699966430664,19.719999313354492,388.0885925292969
2021-05-18,246.27,246.41,242.9,243.08,20167975.0,1867.800048828125,65.48999786376953,21.34000015258789,384.74493408203125
2021-05-19,239.31,243.23,238.6,243.12,25739807.0,1881.300048828125,63.36000061035156,22.18000030517578,383.7362060546875
2021-05-20,243.96,247.95,243.86,246.48,21800716.0,1881.800048828125,62.04999923706055,20.670000076293945,387.86444091796875
2021-05-21,247.565,248.33,244.74,245.17,21830058.0,1876.699951171875,63.58000183105469,20.149999618530273,387.546875
2021-05-24,247.785,251.16,247.51,250.78,21411547.0,1884.5999755859373,66.05000305175781,18.399999618530273,391.4975891113281
2021-05-25,251.769,252.75,250.82,251.72,17700303.0,1898.0999755859373,66.06999969482422,18.84000015258789,390.62908935546875
2021-05-26,251.43,252.94,250.75,251.49,17771600.0,1901.300048828125,66.20999908447266,17.360000610351562,391.4042663574219
2021-05-27,251.17,251.48,249.25,249.31,24426244.0,1895.699951171875,66.8499984741211,16.739999771118164,391.6097106933594
2021-05-28,250.995,252.08,249.56,249.68,18265642.0,1902.5,66.31999969482422,16.760000228881836,392.31024169921875
2021-06-01,251.23,251.29,246.96,247.4,23213310.0,1902.9000244140625,67.72000122070312,17.899999618530273,391.96466064453125
2021-06-02,248.125,249.27,245.84,247.3,19406705.0,1907.5,68.83000183105469,17.479999542236328,392.58111572265625
2021-06-03,245.22,246.34,243.0,245.71,25108111.0,1871.199951171875,68.80999755859375,18.040000915527344,391.1240234375
2021-06-04,247.76,251.65,247.51,250.79,25281094.0,1889.800048828125,69.62000274658203,16.420000076293945,394.70123291015625
2021-06-07,249.98,254.09,249.81,253.81,23079167.0,1896.800048828125,69.2300033569336,16.420000076293945,394.31829833984375
2021-06-08,255.16,256.01,252.51,252.57,22454998.0,1892.199951171875,70.05000305175781,17.06999969482422,394.4023132324219
2021-06-09,253.81,255.53,253.21,253.59,17937634.0,1893.199951171875,69.95999908447266,17.889999389648438,393.81390380859375
2021-06-10,254.29,257.46,253.67,257.24,24563619.0,1894.199951171875,70.29000091552734,16.100000381469727,395.6445617675781
2021-06-11,257.985,258.4868,256.61,257.89,18949731.0,1877.4000244140625,70.91000366210938,15.649999618530273,396.29833984375
2021-06-14,257.9,259.95,256.8,259.89,19150507.0,1864.0,70.87999725341797,16.389999389648438,397.1855773925781
2021-06-15,259.775,259.99,257.68,258.36,18016931.0,1854.5,72.12000274658203,17.020000457763672,396.4571228027344
2021-06-16,259.4,260.58,254.42,257.38,27219955.0,1859.5,72.1500015258789,18.149999618530273,394.24359130859375
2021-06-17,256.065,261.75,256.01,260.9,27565537.0,1773.800048828125,71.04000091552734,17.75,394.1128234863281
